province;red;green;blue;x;x
1;200;20;255;Garanto province;x
2;100;100;50;Juuin province;x
3;100;10;255;Kyoukan province;x
4;20;200;255;Ishibei province;x
5;105;172;122;Ishigaki province;x
6;123;123;200;Hissori province;x
7;155;155;200;Ienikaeru province;x
8;175;175;200;Kinbou province;x
9;53;92;72;Hokufuu province;x
10;76;145;167;Yoake province;x
11;175;176;81;Kuda province;x
12;1;200;180;Midakai province;x
13;10;100;255;Adauchi province;x
14;50;183;91;Toritaka province;x
15;161;29;223;Sunda Mizu province;x
16;239;234;156;Junkin province;x
17;1;180;255;Anshin province;x
18;1;170;255;Shinkyou province;x
19;1;160;255;Wakiaiai province;x
20;1;210;255;Kosaten province;x
21;1;220;255;Hayaku province;x
22;1;200;255;Sabishi province;x
23;1;190;255;Ichigun province;x
24;10;105;255;Kazenmuketsu province;x
25;10;110;255;Oyomesan province;x
26;10;120;255;Itoshii province;x
27;10;130;255;Umoeru province;x
28;10;140;255;Kougen province;x
29;10;150;255;Takuetsu province;x
30;10;160;255;Nanhan province;x
31;10;170;255;Gyousha province;x
32;10;180;255;Kishou province;x
33;200;255;20;Shinpi province;x
34;200;255;40;Kaitou province;x
35;200;255;60;Sinjutsu province;x
36;200;255;80;Gaien province;x
37;200;255;100;Yakeishi province;x
38;200;255;120;Toshibu province;x
39;200;255;140;Kousou province;x
40;200;255;160;Sabishii province;x
41;200;255;180;Kinenkan province;x
42;200;255;200;Mucha province;x
43;188;188;100;Oiku province;x
44;210;210;140;Henkyou province;x
45;230;210;160;Shimizu province;x
46;250;210;180;Renga province;x
47;255;240;200;Ken-ryu province;x
48;125;125;20;Gisei province;x
49;125;125;60;Eiyu province;x
50;125;125;100;Shirani province;x
51;125;125;140;Ikota province;x
52;125;125;180;Gunsho province;x
53;180;180;20;Hayai province;x
54;180;180;60;Rugashi province;x
55;180;180;100;Dairiki province;x
56;180;180;140;Foshi province;x
57;240;240;110;Azuma province;x
58;240;240;20;Gakka province;x
59;240;240;50;Chuugen province;x
60;240;240;140;Heigen province;x
61;240;240;170;Kaeru province;x
62;240;240;200;Yojin province;x
63;240;240;230;Yama province;x
64;240;240;80;Tonfajutsen;x
65;43;80;55;Gotei province;x
66;79;232;63;Koutetsukan province;x
67;131;146;130;Kaze province;x
68;31;207;64;Inazuma province;x
69;43;117;56;Irie province;x
70;11;199;44;Tokigogachu province;x
71;108;203;6;Maigosera province;x
72;175;238;195;Kakusu province;x
73;46;225;133;Hinome province;x
74;159;188;168;Ashinagabachi province;x
75;34;59;42;Enzan province;x
76;13;80;34;Chuuhan province;x
77;27;236;92;Douro province;x
78;67;79;71;Shaiga province;x
79;135;219;208;Anshin province_2;x
80;219;200;135;Mihari province;x
81;217;147;48;Omoidasu province;x
82;149;134;53;Haimaato province;x
83;11;55;85;Enju province;x
84;8;49;8;Ki-rin province;x
85;39;8;49;Kyuukai province;x
86;237;216;40;Yogen province;x
87;59;224;214;Yosomono province;x
88;220;140;105;Kougen province_2;x
89;242;244;107;Kinkaku province;x
90;186;25;188;Garanto province_2;x
91;119;176;45;Aoijiroi province;x
92;53;151;220;Maryoku province;x
93;122;137;98;Enjaku province;x
94;166;86;227;Ukabu province;x
95;220;46;99;Nanimo province;x
96;168;166;216;Bachiatari province;x
97;52;101;64;Nejiro province;x
98;82;79;79;Shadowlands;x
99;43;6;203;Ocean 1;x
